time, Quad.Est.E.Pos, Quad.Est.S.Z
4.334868,0.084014,0.373219
4.339868,0.083684,0.373327
4.344868,0.083176,0.373491
4.349867,0.082817,0.373600
4.354867,0.082282,0.373765
4.359867,0.081905,0.373875
4.364866,0.081331,0.374041
4.369866,0.080956,0.374152
4.374866,0.080343,0.374320
4.379865,0.079944,0.374432
4.384865,0.079271,0.374601
4.389864,0.078807,0.374714
4.394864,0.078118,0.374884
4.399864,0.077624,0.374998
4.404863,0.072941,0.373957
4.409863,0.072414,0.374063
4.414863,0.071644,0.374221
4.419862,0.071121,0.374327
4.424862,0.070323,0.374487
4.429862,0.069783,0.374594
4.434861,0.068997,0.374755
4.439861,0.068473,0.374863
4.444860,0.067658,0.375026
4.449860,0.067098,0.375135
4.454860,0.066231,0.375299
4.459859,0.065655,0.375409
4.464859,0.064777,0.375574
4.469859,0.064179,0.375685
4.474858,0.063273,0.375852
4.479858,0.062656,0.375963
4.484858,0.061726,0.376131
4.489857,0.061105,0.376244
4.494857,0.060161,0.376414
4.499856,0.059533,0.376527
4.504856,0.063059,0.375491
4.509856,0.062493,0.375596
4.514855,0.061644,0.375753
4.519855,0.061065,0.375859
4.524855,0.060219,0.376018
4.529854,0.059654,0.376125
4.534854,0.058802,0.376286
4.539854,0.058236,0.376393
4.544853,0.057383,0.376555
4.549853,0.056817,0.376664
4.554852,0.055970,0.376827
4.559852,0.055415,0.376936
4.564852,0.054567,0.377101
4.569851,0.054012,0.377211
4.574851,0.053160,0.377377
4.579851,0.052591,0.377489
4.584850,0.051747,0.377656
4.589850,0.051199,0.377768
4.594850,0.050373,0.377937
4.599849,0.049844,0.378051
4.604849,0.067191,0.377018
4.609848,0.067052,0.377122
4.614848,0.066843,0.377279
4.619848,0.066694,0.377385
4.624847,0.066460,0.377543
4.629847,0.066299,0.377650
